Outlet_ID,Distributor_ID,Outlet_Type,Outlet_Size,Cooler_Count,constraint_flag,volume_cv,historical_max_volume,Maximum_Monthly_Liters,incremental_volume,Trade_Spend_LKR,Spend_Type
OUT_02582,DIST_W_01,Bakery,Extra Large,3,0,0.743,384,2114,1729,6600.28,promotional
OUT_02475,DIST_W_01,Eatery,Extra Large,3,0,0.65,271,1998,1727,6593.0,promotional
OUT_02383,DIST_W_02,SMMT,Extra Large,3,0,0.718,376,2104,1727,6592.96,merchandising
OUT_02936,DIST_W_03,SMMT,Extra Large,3,0,0.721,369,2095,1726,6589.24,merchandising
OUT_07546,DIST_W_03,Pharmacy,Extra Large,2,0,0.707,386,2112,1726,6588.83,merchandising
OUT_02758,DIST_W_02,Pharmacy,Extra Large,5,0,0.736,364,2090,1726,6587.74,merchandising
OUT_01641,DIST_W_01,Bakery,Extra Large,3,0,0.755,374,2099,1725,6584.26,promotional
OUT_02841,DIST_W_03,Grocery,Extra Large,3,0,0.729,386,2111,1725,6583.7,discount
OUT_03065,DIST_W_01,Pharmacy,Extra Large,3,0,0.722,350,2072,1721,6570.64,merchandising
OUT_08716,DIST_W_03,Grocery,Extra Large,2,0,0.717,366,2087,1720,6567.11,discount
OUT_04853,DIST_W_02,Bakery,Extra Large,4,0,0.732,379,2099,1720,6564.63,promotional
OUT_00965,DIST_W_01,SMMT,Extra Large,2,0,0.757,385,2104,1719,6560.78,merchandising
OUT_08047,DIST_W_03,SMMT,Extra Large,2,0,0.752,383,2102,1718,6559.68,merchandising
OUT_02401,DIST_W_02,Hotel,Extra Large,3,0,0.744,385,2102,1717,6553.58,promotional
OUT_00007,DIST_W_03,Hotel,Large,4,0,1.244,384,2100,1715,6547.88,promotional
OUT_07877,DIST_W_02,Eatery,Extra Large,5,0,0.705,363,2077,1714,6543.88,promotional
OUT_06439,DIST_W_03,Pharmacy,Extra Large,3,0,0.685,362,2076,1714,6542.64,merchandising
OUT_01316,DIST_W_02,Hotel,Extra Large,4,0,0.742,378,2093,1714,6542.41,promotional
OUT_02437,DIST_W_02,Eatery,Extra Large,5,0,0.736,361,2074,1712,6536.94,promotional
OUT_05095,DIST_W_03,Eatery,Extra Large,5,0,0.707,384,2096,1712,6535.29,promotional
OUT_06660,DIST_W_01,Kiosk,Extra Large,5,0,0.718,354,2066,1711,6533.78,merchandising
OUT_07604,DIST_W_03,Grocery,Extra Large,5,0,0.716,381,2093,1711,6530.78,discount
OUT_00028,DIST_W_03,Grocery,Small,0,0,1.251,377,2087,1710,6527.04,discount
OUT_02836,DIST_W_03,Pharmacy,Extra Large,5,0,0.68,307,2016,1708,6521.54,merchandising
OUT_05578,DIST_W_01,Pharmacy,Extra Large,5,0,0.725,361,2070,1708,6521.51,merchandising
OUT_06556,DIST_W_03,SMMT,Extra Large,2,0,0.72,381,2089,1708,6520.16,merchandising
OUT_07008,DIST_W_03,Pharmacy,Extra Large,4,0,0.722,372,2081,1708,6519.01,merchandising
OUT_05694,DIST_W_02,Bakery,Extra Large,5,0,0.689,354,2061,1707,6515.49,promotional
OUT_06658,DIST_W_02,Kiosk,Extra Large,4,0,0.739,364,2071,1706,6514.15,merchandising
OUT_04678,DIST_W_03,Hotel,Extra Large,4,0,0.728,367,2074,1706,6513.93,promotional
OUT_07880,DIST_W_02,Grocery,Extra Large,4,0,0.699,332,2038,1706,6511.16,discount
OUT_01725,DIST_W_03,Kiosk,Extra Large,2,0,0.723,385,2091,1705,6510.63,merchandising
OUT_00684,DIST_W_03,Kiosk,Extra Large,5,0,0.74,360,2065,1705,6509.81,merchandising
OUT_01505,DIST_W_01,Bakery,Extra Large,3,0,0.716,382,2087,1705,6508.66,promotional
OUT_00689,DIST_W_03,Hotel,Extra Large,4,0,0.724,370,2075,1704,6506.01,promotional
OUT_01903,DIST_W_03,SMMT,Extra Large,2,0,0.735,384,2087,1703,6502.83,merchandising
OUT_03577,DIST_W_02,Eatery,Extra Large,3,0,0.735,378,2082,1703,6502.68,promotional
OUT_05156,DIST_W_03,SMMT,Extra Large,2,0,0.714,373,2076,1702,6497.25,merchandising
OUT_04593,DIST_W_03,Eatery,Extra Large,2,0,0.723,350,2052,1702,6496.88,promotional
OUT_07736,DIST_W_02,SMMT,Extra Large,2,0,0.69,344,2046,1701,6495.61,merchandising
OUT_04199,DIST_W_03,Hotel,Extra Large,4,0,0.724,365,2067,1701,6494.66,promotional
OUT_03686,DIST_W_03,Grocery,Extra Large,4,0,0.732,365,2066,1701,6493.11,discount
OUT_03353,DIST_W_03,Eatery,Extra Large,4,0,0.713,372,2072,1700,6489.73,promotional
OUT_07815,DIST_W_02,Grocery,Extra Large,2,0,0.74,376,2077,1700,6489.54,discount
OUT_00579,DIST_W_01,Bakery,Extra Large,2,0,0.7,376,2073,1697,6478.01,promotional
OUT_06278,DIST_W_01,Kiosk,Extra Large,3,0,0.727,384,2081,1696,6476.74,merchandising
OUT_01782,DIST_W_02,Hotel,Extra Large,5,0,0.739,369,2066,1696,6475.79,promotional
OUT_02964,DIST_W_02,Hotel,Extra Large,5,0,0.768,382,2079,1696,6475.21,promotional
OUT_07837,DIST_W_01,Pharmacy,Extra Large,4,0,0.685,334,2030,1696,6472.98,merchandising
OUT_07135,DIST_W_02,Hotel,Extra Large,2,0,0.712,368,2064,1695,6472.5,promotional
OUT_02096,DIST_W_01,Bakery,Extra Large,2,0,0.744,375,2070,1694,6468.88,promotional
OUT_08201,DIST_W_02,SMMT,Extra Large,5,0,0.732,378,2073,1694,6467.93,merchandising
OUT_03680,DIST_W_02,Bakery,Extra Large,5,0,0.723,348,2042,1694,6465.34,promotional
OUT_02854,DIST_W_03,Pharmacy,Extra Large,2,0,0.73,384,2077,1693,6464.48,merchandising
OUT_05903,DIST_W_03,Kiosk,Extra Large,2,0,0.723,380,2073,1692,6460.64,merchandising
OUT_03493,DIST_W_01,Kiosk,Extra Large,5,0,0.733,340,2032,1692,6458.09,merchandising
OUT_03653,DIST_W_01,Hotel,Extra Large,4,0,0.705,379,2071,1691,6456.11,promotional
OUT_03814,DIST_W_02,SMMT,Extra Large,4,0,0.702,360,2049,1689,6446.51,merchandising
OUT_02078,DIST_W_01,Hotel,Extra Large,2,0,0.686,370,2059,1688,6445.86,promotional
OUT_07765,DIST_W_01,Eatery,Extra Large,4,0,0.708,350,2036,1686,6436.03,promotional
OUT_05204,DIST_W_01,Kiosk,Extra Large,3,0,0.749,381,2067,1686,6435.69,merchandising
OUT_07916,DIST_W_01,SMMT,Extra Large,2,0,0.738,380,2064,1684,6430.64,merchandising
OUT_06119,DIST_W_03,Grocery,Extra Large,2,0,0.704,337,2021,1683,6425.69,discount
OUT_08278,DIST_W_02,Pharmacy,Extra Large,5,0,0.729,373,2056,1683,6425.13,merchandising
OUT_08090,DIST_W_01,Bakery,Extra Large,2,0,0.694,317,2000,1683,6423.99,promotional
OUT_08805,DIST_W_01,Grocery,Extra Large,3,0,0.702,335,2017,1681,6417.29,discount
OUT_01716,DIST_W_01,Bakery,Extra Large,3,0,0.721,386,2067,1681,6417.26,promotional
OUT_02176,DIST_W_03,SMMT,Extra Large,3,0,0.707,376,2057,1681,6416.55,merchandising
OUT_06159,DIST_W_02,Bakery,Extra Large,4,0,0.735,370,2051,1680,6415.64,promotional
OUT_04979,DIST_W_01,Hotel,Extra Large,4,0,0.723,374,2054,1680,6414.35,promotional
OUT_03549,DIST_W_02,Eatery,Extra Large,2,0,0.681,324,2003,1679,6409.7,promotional
OUT_07013,DIST_W_02,Bakery,Extra Large,3,0,0.655,271,1949,1678,6407.75,promotional
OUT_05430,DIST_W_03,Hotel,Extra Large,5,0,0.753,386,2065,1678,6407.06,promotional
OUT_01554,DIST_W_01,Pharmacy,Extra Large,2,0,0.732,370,2049,1678,6406.43,merchandising
OUT_06030,DIST_W_02,Bakery,Extra Large,3,0,0.692,339,2017,1677,6401.79,promotional
OUT_07316,DIST_W_03,Hotel,Extra Large,5,0,0.751,377,2054,1676,6398.51,promotional
OUT_01207,DIST_W_01,Bakery,Extra Large,5,0,0.706,353,2029,1676,6397.74,promotional
OUT_04640,DIST_W_03,Kiosk,Extra Large,5,0,0.758,383,2059,1676,6396.83,merchandising
OUT_05938,DIST_W_01,Pharmacy,Extra Large,4,0,0.733,383,2058,1675,6395.58,merchandising
OUT_08835,DIST_W_01,Pharmacy,Extra Large,3,0,0.752,373,2049,1675,6395.56,merchandising
OUT_03325,DIST_W_02,Pharmacy,Extra Large,5,0,0.737,369,2044,1675,6392.99,merchandising
OUT_05776,DIST_W_03,SMMT,Extra Large,5,0,0.715,381,2056,1674,6391.76,merchandising
OUT_06189,DIST_W_03,Grocery,Extra Large,4,0,0.707,348,2022,1674,6390.79,discount
OUT_06381,DIST_W_03,Hotel,Extra Large,5,0,0.738,377,2051,1674,6390.38,promotional
OUT_00840,DIST_W_01,Hotel,Extra Large,4,0,0.743,371,2045,1674,6390.08,promotional
OUT_04879,DIST_W_02,Hotel,Extra Large,3,0,0.718,374,2048,1673,6386.09,promotional
OUT_07215,DIST_W_01,Eatery,Extra Large,4,0,0.75,363,2036,1673,6385.88,promotional
OUT_08872,DIST_W_02,Hotel,Extra Large,3,0,0.69,361,2034,1673,6385.76,promotional
OUT_02892,DIST_W_03,Bakery,Extra Large,2,0,0.723,360,2032,1672,6384.45,promotional
OUT_01937,DIST_W_03,Grocery,Extra Large,3,0,0.706,339,2012,1672,6384.38,discount
OUT_06044,DIST_W_02,Bakery,Extra Large,5,0,0.703,346,2019,1672,6383.09,promotional
OUT_08432,DIST_W_01,SMMT,Extra Large,4,0,0.713,385,2057,1672,6382.49,merchandising
OUT_01691,DIST_W_03,Pharmacy,Extra Large,2,0,0.685,343,2015,1672,6382.46,merchandising
OUT_02083,DIST_W_02,Kiosk,Extra Large,5,0,0.666,272,1944,1672,6382.36,merchandising
OUT_00853,DIST_W_01,Bakery,Extra Large,5,0,0.728,364,2036,1672,6382.03,promotional
OUT_06733,DIST_W_02,Eatery,Extra Large,2,0,0.667,271,1943,1671,6380.93,promotional
OUT_01146,DIST_W_03,Grocery,Extra Large,5,0,0.755,384,2055,1670,6377.44,discount
OUT_02576,DIST_W_01,Hotel,Extra Large,2,0,0.723,381,2051,1670,6374.91,promotional
OUT_05947,DIST_W_01,Hotel,Extra Large,3,0,0.716,374,2044,1670,6374.74,promotional
OUT_04161,DIST_W_02,Hotel,Extra Large,4,0,0.702,365,2035,1670,6373.76,promotional
OUT_08109,DIST_W_02,Grocery,Extra Large,3,0,0.724,377,2046,1669,6372.69,discount
OUT_05699,DIST_W_03,Pharmacy,Extra Large,5,0,0.721,354,2022,1668,6366.1,merchandising
OUT_07796,DIST_W_03,SMMT,Extra Large,4,0,0.724,378,2045,1667,6362.46,merchandising
OUT_02025,DIST_W_03,Hotel,Extra Large,5,0,0.723,370,2036,1665,6358.08,promotional
OUT_06499,DIST_W_01,Bakery,Extra Large,3,0,0.706,379,2045,1665,6356.16,promotional
OUT_05838,DIST_W_02,Eatery,Extra Large,2,0,0.719,383,2048,1665,6355.63,promotional
OUT_07923,DIST_W_01,SMMT,Extra Large,3,0,0.683,364,2029,1664,6353.26,merchandising
OUT_08452,DIST_W_03,Kiosk,Extra Large,5,0,0.689,381,2045,1663,6350.58,merchandising
OUT_03719,DIST_W_03,Pharmacy,Extra Large,2,0,0.708,372,2036,1663,6349.71,merchandising
OUT_08442,DIST_W_01,Pharmacy,Extra Large,2,0,0.752,385,2048,1662,6346.19,merchandising
OUT_07225,DIST_W_02,Kiosk,Extra Large,4,0,0.718,379,2041,1661,6343.01,merchandising
OUT_03741,DIST_W_03,Eatery,Extra Large,4,0,0.74,380,2042,1661,6341.9,promotional
OUT_08032,DIST_W_01,Eatery,Extra Large,4,0,0.732,379,2040,1660,6338.41,promotional
OUT_02599,DIST_W_01,Grocery,Extra Large,3,0,0.709,356,2016,1660,6337.55,discount
OUT_06625,DIST_W_01,Bakery,Extra Large,5,0,0.741,383,2043,1660,6336.31,promotional
OUT_08298,DIST_W_02,Kiosk,Extra Large,5,0,0.729,373,2034,1660,6336.25,merchandising
OUT_06023,DIST_W_01,Bakery,Extra Large,2,0,0.684,300,1960,1659,6333.13,promotional
OUT_05120,DIST_W_01,Pharmacy,Extra Large,4,0,0.758,376,2034,1658,6330.79,merchandising
OUT_05157,DIST_W_03,Bakery,Extra Large,4,0,0.706,366,2023,1656,6323.38,promotional
OUT_03999,DIST_W_03,Bakery,Extra Large,2,0,0.724,369,2025,1656,6322.2,promotional
OUT_04368,DIST_W_03,Grocery,Extra Large,3,0,0.718,379,2036,1656,6320.33,discount
OUT_06410,DIST_W_03,Pharmacy,Extra Large,3,0,0.724,370,2026,1655,6318.73,merchandising
OUT_01901,DIST_W_03,Hotel,Extra Large,5,0,0.717,385,2041,1655,6318.24,promotional
OUT_03954,DIST_W_03,Kiosk,Extra Large,4,0,0.718,376,2031,1655,6317.69,merchandising
OUT_00449,DIST_W_01,Grocery,Extra Large,4,0,0.752,376,2031,1654,6315.34,discount
OUT_03281,DIST_W_01,SMMT,Extra Large,2,0,0.722,345,2000,1654,6314.21,merchandising
OUT_04962,DIST_W_02,Bakery,Extra Large,2,0,0.726,381,2034,1653,6309.01,promotional
OUT_02783,DIST_W_01,Grocery,Extra Large,2,0,0.759,377,2029,1652,6305.29,discount
OUT_00568,DIST_W_02,Hotel,Extra Large,5,0,0.69,363,2015,1651,6303.75,promotional
OUT_06818,DIST_W_03,Grocery,Extra Large,2,0,0.698,315,1967,1651,6303.54,discount
OUT_03959,DIST_W_03,Hotel,Extra Large,5,0,0.699,375,2026,1651,6301.8,promotional
OUT_07687,DIST_W_02,Pharmacy,Extra Large,5,0,0.705,361,2012,1651,6301.49,merchandising
OUT_06356,DIST_W_01,Kiosk,Extra Large,2,0,0.764,369,2020,1650,6297.84,merchandising
OUT_07980,DIST_W_03,Eatery,Extra Large,2,0,0.727,376,2026,1649,6297.23,promotional
OUT_02056,DIST_W_01,Bakery,Extra Large,5,0,0.713,353,2002,1649,6295.8,promotional
OUT_08929,DIST_W_01,Grocery,Extra Large,2,0,0.724,360,2009,1649,6295.16,discount
OUT_07553,DIST_W_01,Bakery,Extra Large,3,0,0.694,362,2011,1648,6293.36,promotional
OUT_02422,DIST_W_03,Grocery,Extra Large,5,0,0.736,378,2027,1648,6291.9,discount
OUT_04609,DIST_W_03,Bakery,Extra Large,4,0,0.73,370,2019,1648,6291.45,promotional
OUT_05366,DIST_W_01,SMMT,Extra Large,3,0,0.705,367,2015,1648,6290.16,merchandising
OUT_06304,DIST_W_03,Bakery,Extra Large,5,0,0.685,349,1997,1648,6290.13,promotional
OUT_05269,DIST_W_03,Hotel,Extra Large,3,0,0.721,380,2029,1648,6290.1,promotional
OUT_04027,DIST_W_02,Kiosk,Extra Large,2,0,0.746,384,2032,1647,6289.73,merchandising
OUT_05071,DIST_W_01,Eatery,Extra Large,4,0,0.724,379,2026,1646,6284.36,promotional
OUT_02636,DIST_W_01,Hotel,Extra Large,2,0,0.716,383,2029,1646,6283.03,promotional
OUT_04752,DIST_W_03,Eatery,Extra Large,4,0,0.738,371,2017,1646,6282.19,promotional
OUT_03928,DIST_W_02,SMMT,Extra Large,5,0,0.749,365,2011,1645,6278.6,merchandising
OUT_05280,DIST_W_02,Eatery,Extra Large,5,0,0.729,376,2021,1644,6277.76,promotional
OUT_08614,DIST_W_02,SMMT,Extra Large,4,0,0.701,384,2029,1644,6277.3,merchandising
OUT_03923,DIST_W_02,Bakery,Extra Large,4,0,0.736,376,2021,1644,6275.33,promotional
OUT_08583,DIST_W_02,SMMT,Extra Large,4,0,0.709,344,1987,1643,6271.59,merchandising
OUT_05485,DIST_W_03,SMMT,Extra Large,3,0,0.733,381,2025,1643,6271.33,merchandising
OUT_02865,DIST_W_01,Kiosk,Extra Large,5,0,0.73,383,2024,1641,6264.19,merchandising
OUT_08045,DIST_W_01,SMMT,Extra Large,3,0,0.705,351,1990,1639,6258.96,merchandising
OUT_03724,DIST_W_03,Kiosk,Extra Large,3,0,0.68,344,1982,1637,6251.36,merchandising
OUT_01440,DIST_W_01,Hotel,Extra Large,2,0,0.712,376,2014,1637,6250.34,promotional
OUT_03287,DIST_W_02,Eatery,Extra Large,5,0,0.672,288,1925,1637,6249.05,promotional
OUT_03556,DIST_W_03,Hotel,Extra Large,2,0,0.751,382,2020,1637,6248.94,promotional
OUT_01567,DIST_W_01,Pharmacy,Extra Large,3,0,0.719,324,1961,1636,6247.44,merchandising
OUT_06358,DIST_W_03,Grocery,Extra Large,5,0,0.727,375,2012,1636,6247.26,discount
OUT_05743,DIST_W_01,Pharmacy,Extra Large,5,0,0.709,325,1962,1636,6246.33,merchandising
OUT_07896,DIST_W_03,Kiosk,Extra Large,2,0,0.715,375,2012,1636,6246.29,merchandising
OUT_01944,DIST_W_01,Hotel,Extra Large,2,0,0.772,380,2016,1636,6246.13,promotional
OUT_08549,DIST_W_02,Kiosk,Extra Large,2,0,0.72,363,1999,1635,6243.68,merchandising
OUT_03274,DIST_W_01,Kiosk,Extra Large,4,0,0.72,359,1995,1635,6243.25,merchandising
OUT_07658,DIST_W_03,Bakery,Extra Large,2,0,0.755,383,2019,1635,6243.21,promotional
OUT_04409,DIST_W_01,Pharmacy,Extra Large,5,0,0.761,385,2020,1634,6238.63,merchandising
OUT_02322,DIST_W_03,Kiosk,Extra Large,2,0,0.699,377,2010,1633,6235.58,merchandising
OUT_08526,DIST_W_01,Eatery,Extra Large,3,0,0.744,379,2012,1633,6233.38,promotional
OUT_07655,DIST_W_03,Bakery,Extra Large,5,0,0.712,340,1972,1632,6230.11,promotional
OUT_05927,DIST_W_01,Pharmacy,Extra Large,3,0,0.713,357,1989,1632,6229.63,merchandising
OUT_05757,DIST_W_03,Hotel,Extra Large,5,0,0.73,381,2014,1632,6229.56,promotional
OUT_03911,DIST_W_03,Bakery,Extra Large,4,0,0.737,385,2017,1632,6229.13,promotional
OUT_07688,DIST_W_03,Hotel,Extra Large,3,0,0.694,349,1981,1632,6228.91,promotional
OUT_07233,DIST_W_02,Eatery,Extra Large,4,0,0.702,347,1978,1631,6227.81,promotional
OUT_08402,DIST_W_03,Kiosk,Extra Large,2,0,0.742,382,2014,1631,6226.53,merchandising
OUT_00432,DIST_W_02,SMMT,Extra Large,4,0,0.768,372,2002,1630,6223.39,merchandising
OUT_07876,DIST_W_02,Bakery,Extra Large,4,0,0.735,385,2016,1630,6221.61,promotional
OUT_07391,DIST_W_02,Hotel,Extra Large,3,0,0.737,373,2003,1630,6221.31,promotional
OUT_05465,DIST_W_02,Kiosk,Extra Large,3,0,0.745,374,2003,1629,6217.78,merchandising
OUT_01376,DIST_W_02,Pharmacy,Extra Large,3,0,0.723,377,2006,1629,6217.76,merchandising
OUT_07417,DIST_W_02,Hotel,Extra Large,4,0,0.776,379,2008,1629,6217.3,promotional
OUT_03766,DIST_W_01,Kiosk,Extra Large,3,0,0.739,372,2001,1629,6217.25,merchandising
OUT_08831,DIST_W_02,Bakery,Extra Large,4,0,0.699,352,1981,1628,6216.11,promotional
OUT_08636,DIST_W_03,Kiosk,Extra Large,2,0,0.696,373,2001,1628,6215.83,merchandising
OUT_04790,DIST_W_03,Grocery,Extra Large,3,0,0.725,382,2010,1628,6215.6,discount
OUT_03064,DIST_W_02,Grocery,Extra Large,2,0,0.748,381,2010,1628,6214.58,discount
OUT_06081,DIST_W_03,Pharmacy,Extra Large,5,0,0.707,374,2002,1627,6212.15,merchandising
OUT_01869,DIST_W_03,Hotel,Extra Large,5,0,0.728,382,2010,1627,6211.51,promotional
OUT_04569,DIST_W_01,SMMT,Extra Large,2,0,0.686,341,1968,1627,6210.31,merchandising
OUT_08485,DIST_W_03,Hotel,Extra Large,2,0,0.753,374,2001,1627,6209.83,promotional
OUT_03167,DIST_W_03,Bakery,Extra Large,2,0,0.759,384,2011,1626,6209.2,promotional
OUT_01362,DIST_W_03,Grocery,Extra Large,4,0,0.784,381,2007,1626,6205.83,discount
OUT_01212,DIST_W_01,Pharmacy,Extra Large,5,0,0.738,386,2011,1624,6201.91,merchandising
OUT_04393,DIST_W_01,SMMT,Extra Large,4,0,0.678,351,1976,1624,6200.63,merchandising
